Timestamp,Pose,Calibration_Valid,Combined_Eye_Gaze_Valid,Combined_Eye_Gaze_Origin,Combined_Eye_Gaze_Direction,Left_Eye_Gaze_Valid,Left_Eye_Gaze_Origin,Left_Eye_Gaze_Direction,Right_Eye_Gaze_Valid,Right_Eye_Gaze_Origin,Right_Eye_Gaze_Direction,Left_Eye_Openness_Valid,Left_Eye_Openness,Right_Eye_Openness_Valid,Right_Eye_Openness,Vergence_Distance_Valid,Vergence_Distance,Target
34688450894,"[[-0.0076437  -0.99985003  0.01554685  0.        ]
 [-0.97894466  0.01065338  0.20384803  0.        ]
 [-0.20398307 -0.01366136 -0.9788792   0.        ]
 [-0.09111832 -0.010827    0.00932265  1.        ]]",True,True,[ 0.04073955 -0.05330991 -0.03763863],[0.08735989 0.29027516 0.95294726],True,[ 0.03996631 -0.01504187 -0.03811067],[0.08261527 0.2519721  0.9642017 ],True,[ 0.04088687 -0.07513922 -0.03721957],[0.08090628 0.2921736  0.95293695],False,0.0,False,0.0,False,0.0,False
34688662497,"[[-0.0076437  -0.99985003  0.01554685  0.        ]
 [-0.97894466  0.01065338  0.20384803  0.        ]
 [-0.20398307 -0.01366136 -0.9788792   0.        ]
 [-0.09111832 -0.010827    0.00932265  1.        ]]",False,False,[ 0.04073955 -0.05330991 -0.03763863],[0.08735989 0.29027516 0.95294726],False,[ 0.03996631 -0.01504187 -0.03811067],[0.08261527 0.2519721  0.9642017 ],False,[ 0.04088687 -0.07513922 -0.03721957],[0.08090628 0.2921736  0.95293695],False,0.0,False,0.0,False,0.0,False
34688779864,"[[-0.0076437  -0.99985003  0.01554685  0.        ]
 [-0.97894466  0.01065338  0.20384803  0.        ]
 [-0.20398307 -0.01366136 -0.9788792   0.        ]
 [-0.09111832 -0.010827    0.00932265  1.        ]]",False,False,[ 0.04073955 -0.05330991 -0.03763863],[0.08735989 0.29027516 0.95294726],False,[ 0.03996631 -0.01504187 -0.03811067],[0.08261527 0.2519721  0.9642017 ],False,[ 0.04088687 -0.07513922 -0.03721957],[0.08090628 0.2921736  0.95293695],False,0.0,False,0.0,False,0.0,False
34688908889,"[[-0.01272202 -0.9997825   0.01652984  0.        ]
 [-0.9758647   0.01601827  0.21778801  0.        ]
 [-0.2180054  -0.01336021 -0.9758563   0.        ]
 [-0.0941247  -0.01009417  0.00115635  1.        ]]",True,False,[ 0.04073955 -0.05330991 -0.03763863],[0.08735989 0.29027516 0.95294726],False,[ 0.03996631 -0.01504187 -0.03811067],[0.08261527 0.2519721  0.9642017 ],False,[ 0.04088687 -0.07513922 -0.03721957],[0.08090628 0.2921736  0.95293695],False,0.0,False,0.0,False,0.0,False
34689062457,"[[-0.01498806 -0.9997463   0.01680759  0.        ]
 [-0.97473514  0.01835573  0.22260791  0.        ]
 [-0.22285998 -0.01304647 -0.9747629   0.        ]
 [-0.09514019 -0.00985256 -0.00154756  1.        ]]",True,False,[ 0.04073955 -0.05330991 -0.03763863],[0.08735989 0.29027516 0.95294726],False,[ 0.03996631 -0.01504187 -0.03811067],[0.08261527 0.2519721  0.9642017 ],False,[ 0.04088687 -0.07513922 -0.03721957],[0.08090628 0.2921736  0.95293695],False,0.0,False,0.0,False,0.0,False
34689169255,"[[-0.01683807 -0.9997147   0.01694385  0.        ]
 [-0.97392565  0.02023345  0.22596353  0.        ]
 [-0.22624189 -0.01269726 -0.97398853  0.        ]
 [-0.09582671 -0.00964367 -0.00341318  1.        ]]",True,False,[ 0.04073955 -0.05330991 -0.03763863],[0.08735989 0.29027516 0.95294726],False,[ 0.03996631 -0.01504187 -0.03811067],[0.08261527 0.2519721  0.9642017 ],False,[ 0.04088687 -0.07513922 -0.03721957],[0.08090628 0.2921736  0.95293695],False,0.0,False,0.0,False,0.0,False
34689279966,"[[-0.01895225 -0.99967325  0.01715361  0.        ]
 [-0.9730867   0.02238363  0.22934973  0.        ]
 [-0.22965875 -0.01234526 -0.97319293  0.        ]
 [-0.09653047 -0.0094107  -0.00534105  1.        ]]",True,False,[ 0.04073955 -0.05330991 -0.03763863],[0.08735989 0.29027516 0.95294726],False,[ 0.03996631 -0.01504187 -0.03811067],[0.08261527 0.2519721  0.9642017 ],False,[ 0.04088687 -0.07513922 -0.03721957],[0.08090628 0.2921736  0.95293695],False,0.0,False,0.0,False,0.0,False
34689391078,"[[-0.02130699 -0.99962175  0.01739345  0.        ]
 [-0.9722614   0.02477062  0.23258163  0.        ]
 [-0.23292449 -0.01195537 -0.9724214   0.        ]
 [-0.09728457 -0.00917432 -0.0072882   1.        ]]",True,False,[ 0.04073955 -0.05330991 -0.03763863],[0.08735989 0.29027516 0.95294726],False,[ 0.03996631 -0.01504187 -0.03811067],[0.08261527 0.2519721  0.9642017 ],False,[ 0.04088687 -0.07513922 -0.03721957],[0.08090628 0.2921736  0.95293695],False,0.0,False,0.0,False,0.0,False
34689502191,"[[-0.02387059 -0.9995562   0.01782462  0.        ]
 [-0.97146034  0.02740109  0.23561439  0.        ]
 [-0.23599821 -0.01169168 -0.97168326  0.        ]
 [-0.09798052 -0.00893487 -0.00922472  1.        ]]",True,False,[ 0.04073955 -0.05330991 -0.03763863],[0.08735989 0.29027516 0.95294726],False,[ 0.03996631 -0.01504187 -0.03811067],[0.08261527 0.2519721  0.9642017 ],False,[ 0.04088687 -0.07513922 -0.03721957],[0.08090628 0.2921736  0.95293695],False,0.0,False,0.0,False,0.0,False
34689613305,"[[-0.02655566 -0.9994706   0.01878983  0.        ]
 [-0.9706844   0.03027374  0.23844296  0.        ]
 [-0.23888558 -0.01190696 -0.97097445  0.        ]
 [-0.09866577 -0.00871212 -0.01115394  1.        ]]",True,False,[ 0.04073955 -0.05330991 -0.03763863],[0.08735989 0.29027516 0.95294726],False,[ 0.03996631 -0.01504187 -0.03811067],[0.08261527 0.2519721  0.9642017 ],False,[ 0.04088687 -0.07513922 -0.03721957],[0.08090628 0.2921736  0.95293695],False,0.0,False,0.0,False,0.0,False
